snapshot_date,requisition_id,requisition_title,business_unit_code,job_family_code,job_level_code,work_location,hiring_manager_id,recruiter_id,requisition_status,approval_date,target_hire_date,target_offer_acceptance_date,requested_positions,openings_position,cancelled_positions,hiring_constraint_code,updated_at,extracted_at
2024-10-31,REQ-2024-00010,Director Software Engineer,ENG,SWE,L6,Dublin,HM-0129,REC-07,open,2024-10-22,2025-02-03,2024-11-11,1,2,0,no_material_constraint,2024-10-22T18:34:50Z,2026-05-31T23:59:59Z
2024-11-30,REQ-2024-00008,Software Engineer,ENG,SWE,L2,Berlin,HM-0044,REC-10,filled,2024-06-08,2024-09-16,2024-08-12,1,0,0,interview_capacity,2024-08-03T09:18:30Z,2026-05-31T23:59:59Z
2024-11-30,REQ-2024-00009,IT Systems Engineer,GNA,ITS,L2,Dublin,HM-0058,REC-01,filled,2024-08-01,2025-01-27,2024-12-26,1,0,0,no_material_constraint,2024-09-13T09:34:32Z,2026-05-31T23:59:59Z
2024-11-30,REQ-2024-00010,Director Software Engineer,ENG,SWE,L6,Dublin,HM-0129,REC-07,cancelled,2024-10-22,2025-02-03,2024-11-11,0,0,1,no_material_constraint,2024-11-26T13:32:40Z,2026-05-31T23:59:59Z
2024-11-30,REQ-2024-00011,IT Systems Engineer,GNA,ITS,L2,Austin,HM-0132,REC-10,open,2024-11-11,2024-12-23,2024-11-18,1,2,0,no_material_constraint,2024-11-11T10:36:53Z,2026-05-31T23:59:59Z
2024-12-31,REQ-2024-00009,IT Systems Engineer,GNA,ITS,L2,Dublin,HM-0058,REC-01,filled,2024-08-01,2025-01-27,2024-12-26,1,0,0,no_material_constraint,2024-09-13T09:34:32Z,2026-05-31T23:59:59Z
2024-12-31,REQ-2024-00010,Director Software Engineer,ENG,SWE,L6,Dublin,HM-0129,REC-07,cancelled,2024-10-22,2025-02-03,2024-11-11,0,0,1,no_material_constraint,2024-11-26T13:32:40Z,2026-05-31T23:59:59Z
2024-12-31,REQ-2024-00011,IT Systems Engineer,GNA,ITS,L2,Austin,HM-0132,REC-10,filled,2024-11-11,2024-12-23,2024-11-18,1,0,0,no_material_constraint,2024-12-24T12:26:36Z,2026-05-31T23:59:59Z
2024-12-31,REQ-2024-00012,Product Manager,PRD,PDM,L2,Austin,HM-0121,REC-12,open,2024-12-08,2025-03-17,2025-02-14,1,2,0,hiring_manager_delay,2024-12-08T15:10:43Z,2026-05-31T23:59:59Z
2025-01-31,REQ-2024-00010,Director Software Engineer,ENG,SWE,L6,Dublin,HM-0129,REC-07,cancelled,2024-10-22,2025-02-03,2024-11-11,0,0,1,no_material_constraint,2024-11-26T13:32:40Z,2026-05-31T23:59:59Z
2025-01-31,REQ-2024-00011,IT Systems Engineer,GNA,ITS,L2,Austin,HM-0132,REC-10,filled,2024-11-11,2024-12-23,2024-11-18,1,0,0,no_material_constraint,2024-12-24T12:26:36Z,2026-05-31T23:59:59Z
2025-01-31,REQ-2024-00012,Product Manager,PRD,PDM,L2,Austin,HM-0121,REC-12,open,2024-12-08,2025-03-17,2025-02-14,1,2,0,hiring_manager_delay,2024-12-08T15:10:43Z,2026-05-31T23:59:59Z
2025-02-28,REQ-2024-00010,Director Software Engineer,ENG,SWE,L6,Dublin,HM-0129,REC-07,cancelled,2024-10-22,2025-02-03,2024-11-11,0,0,1,no_material_constraint,2024-11-26T13:32:40Z,2026-05-31T23:59:59Z
2025-02-28,REQ-2024-00011,IT Systems Engineer,GNA,ITS,L2,Austin,HM-0132,REC-10,filled,2024-11-11,2024-12-23,2024-11-18,1,0,0,no_material_constraint,2024-12-24T12:26:36Z,2026-05-31T23:59:59Z
2025-02-28,REQ-2024-00012,Product Manager,PRD,PDM,L2,Austin,HM-0121,REC-12,filled,2024-12-08,2025-03-17,2025-02-14,1,0,0,hiring_manager_delay,2025-02-09T18:23:13Z,2026-05-31T23:59:59Z
2025-02-28,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,open,2025-02-12,2026-04-20,2026-03-14,1,2,0,no_material_constraint,2025-02-12T14:53:13Z,2026-05-31T23:59:59Z
2025-02-28,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,open,2025-02-16,2025-04-14,2025-03-07,1,2,0,candidate_availability,2025-02-16T15:41:10Z,2026-05-31T23:59:59Z
2025-03-31,REQ-2024-00011,IT Systems Engineer,GNA,ITS,L2,Austin,HM-0132,REC-10,filled,2024-11-11,2024-12-23,2024-11-18,1,0,0,no_material_constraint,2024-12-24T12:26:36Z,2026-05-31T23:59:59Z
2025-03-31,REQ-2024-00012,Product Manager,PRD,PDM,L2,Austin,HM-0121,REC-12,filled,2024-12-08,2025-03-17,2025-02-14,1,0,0,hiring_manager_delay,2025-02-09T18:23:13Z,2026-05-31T23:59:59Z
2025-03-31,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,open,2025-02-12,2026-04-20,2026-03-14,1,2,0,no_material_constraint,2025-02-12T14:53:13Z,2026-05-31T23:59:59Z
2025-03-31,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,open,2025-02-16,2025-06-05,2025-04-28,1,2,0,candidate_availability,2025-03-25T18:45:47Z,2026-05-31T23:59:59Z
2025-04-30,REQ-2024-00012,Product Manager,PRD,PDM,L2,Austin,HM-0121,REC-12,filled,2024-12-08,2025-03-17,2025-02-14,1,0,0,hiring_manager_delay,2025-02-09T18:23:13Z,2026-05-31T23:59:59Z
2025-04-30,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,open,2025-02-12,2026-04-20,2026-03-14,1,2,0,no_material_constraint,2025-04-07T18:16:33Z,2026-05-31T23:59:59Z
2025-04-30,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,open,2025-02-16,2025-06-05,2025-04-28,1,2,0,qualified_candidates,2025-04-30T10:04:44Z,2026-05-31T23:59:59Z
2025-04-30,REQ-2025-00003,Customer Success Manager,CSX,CSM,L2,Remote,HM-0059,REC-05,open,2025-04-07,2025-08-25,2025-07-20,4,5,0,no_material_constraint,2025-04-07T17:52:33Z,2026-05-31T23:59:59Z
2025-05-31,REQ-2024-00012,Product Manager,PRD,PDM,L2,Austin,HM-0121,REC-12,filled,2024-12-08,2025-03-17,2025-02-14,1,0,0,hiring_manager_delay,2025-02-09T18:23:13Z,2026-05-31T23:59:59Z
2025-05-31,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,filled,2025-02-12,2026-04-20,2026-03-14,1,0,0,no_material_constraint,2025-05-07T16:52:30Z,2026-05-31T23:59:59Z
2025-05-31,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,open,2025-02-16,2025-08-17,2025-07-10,1,2,0,candidate_availability,2025-05-31T16:03:04Z,2026-05-31T23:59:59Z
2025-05-31,REQ-2025-00003,Customer Success Manager,CSX,CSM,L2,Remote,HM-0059,REC-05,filled,2025-04-07,2025-08-25,2025-07-20,4,0,0,no_material_constraint,2025-05-21T18:36:57Z,2026-05-31T23:59:59Z
2025-06-30,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,filled,2025-02-12,2026-04-20,2026-03-14,1,0,0,no_material_constraint,2025-05-07T16:52:30Z,2026-05-31T23:59:59Z
2025-06-30,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,open,2025-02-16,2025-08-17,2025-07-10,1,2,0,candidate_availability,2025-05-31T16:03:04Z,2026-05-31T23:59:59Z
2025-06-30,REQ-2025-00003,Customer Success Manager,CSX,CSM,L2,Remote,HM-0059,REC-05,filled,2025-04-07,2025-08-25,2025-07-20,4,0,0,no_material_constraint,2025-05-21T18:36:57Z,2026-05-31T23:59:59Z
2025-07-31,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,filled,2025-02-12,2026-04-20,2026-03-14,1,0,0,no_material_constraint,2025-05-07T16:52:30Z,2026-05-31T23:59:59Z
2025-07-31,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,filled,2025-02-16,2025-08-17,2025-07-10,1,0,0,candidate_availability,2025-07-22T16:54:16Z,2026-05-31T23:59:59Z
2025-07-31,REQ-2025-00003,Customer Success Manager,CSX,CSM,L2,Remote,HM-0059,REC-05,filled,2025-04-07,2025-08-25,2025-07-20,4,0,0,no_material_constraint,2025-05-21T18:36:57Z,2026-05-31T23:59:59Z
2025-07-31,REQ-2025-00004,Data Engineer,OPS,DAT,L2,Dublin,HM-0041,REC-22,open,2025-07-08,2025-10-06,2025-08-30,1,2,0,no_material_constraint,2025-07-08T09:56:00Z,2026-05-31T23:59:59Z
2025-07-31,REQ-2025-00005,Lead Account Executive,SAL,SLS,L4,Austin,HM-0062,REC-03,open,2025-07-19,2025-12-15,2025-10-29,1,2,0,no_material_constraint,2025-07-19T13:37:25Z,2026-05-31T23:59:59Z
2025-08-31,REQ-2025-00001,Account Executive,SAL,SLS,L2,Austin,HM-0100,REC-07,filled,2025-02-12,2026-04-20,2026-03-14,1,0,0,no_material_constraint,2025-05-07T16:52:30Z,2026-05-31T23:59:59Z
2025-08-31,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,filled,2025-02-16,2025-08-17,2025-07-10,1,0,0,candidate_availability,2025-07-22T16:54:16Z,2026-05-31T23:59:59Z
2025-08-31,REQ-2025-00003,Customer Success Manager,CSX,CSM,L2,Remote,HM-0059,REC-05,filled,2025-04-07,2025-08-25,2025-07-20,4,0,0,no_material_constraint,2025-05-21T18:36:57Z,2026-05-31T23:59:59Z
2025-08-31,REQ-2025-00004,Data Engineer,OPS,DAT,L2,Dublin,HM-0041,REC-22,open,2025-07-08,2025-10-06,2025-08-30,1,2,0,niche_skills,2025-08-31T09:15:51Z,2026-05-31T23:59:59Z
2025-08-31,REQ-2025-00005,Lead Account Executive,SAL,SLS,L4,Austin,HM-0062,REC-03,filled,2025-07-19,2025-12-15,2025-10-29,1,0,0,no_material_constraint,2025-08-12T10:40:48Z,2026-05-31T23:59:59Z
2025-09-30,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,filled,2025-02-16,2025-08-17,2025-07-10,1,0,0,candidate_availability,2025-07-22T16:54:16Z,2026-05-31T23:59:59Z
2025-09-30,REQ-2025-00004,Data Engineer,OPS,DAT,L2,Dublin,HM-0041,REC-22,open,2025-07-08,2025-12-10,2025-11-03,1,2,0,no_material_constraint,2025-09-30T16:37:24Z,2026-05-31T23:59:59Z
2025-09-30,REQ-2025-00005,Lead Account Executive,SAL,SLS,L4,Austin,HM-0062,REC-03,filled,2025-07-19,2025-12-15,2025-10-29,1,0,0,no_material_constraint,2025-08-12T10:40:48Z,2026-05-31T23:59:59Z
2025-09-30,REQ-2025-00006,Account Executive,SAL,SLS,L2,Dublin,HM-0076,REC-21,open,2025-09-11,2025-11-24,2025-10-18,1,2,0,no_material_constraint,2025-09-11T08:12:32Z,2026-05-31T23:59:59Z
2025-09-30,REQ-2025-00007,Manager IT Systems Engineer,ENG,ITS,L5,Austin,HM-0003,REC-03,open,2025-09-12,2025-11-10,2025-09-19,1,2,0,qualified_candidates,2025-09-12T14:42:47Z,2026-05-31T23:59:59Z
2025-10-31,REQ-2025-00002,Senior Marketing Specialist,SAL,MKT,L3,Dublin,HM-0101,REC-11,filled,2025-02-16,2025-08-17,2025-07-10,1,0,0,candidate_availability,2025-07-22T16:54:16Z,2026-05-31T23:59:59Z
2025-10-31,REQ-2025-00004,Data Engineer,OPS,DAT,L2,Dublin,HM-0041,REC-22,cancelled,2025-07-08,2025-12-10,2025-11-03,0,0,1,no_material_constraint,2025-10-03T17:32:23Z,2026-05-31T23:59:59Z
2025-10-31,REQ-2025-00005,Lead Account Executive,SAL,SLS,L4,Austin,HM-0062,REC-03,filled,2025-07-19,2025-12-15,2025-10-29,1,0,0,no_material_constraint,2025-08-12T10:40:48Z,2026-05-31T23:59:59Z
2025-10-31,REQ-2025-00006,Account Executive,SAL,SLS,L2,Dublin,HM-0076,REC-21,filled,2025-09-11,2025-11-24,2025-10-18,1,0,0,no_material_constraint,2025-10-05T10:09:47Z,2026-05-31T23:59:59Z
2025-10-31,REQ-2025-00007,Manager IT Systems Engineer,ENG,ITS,L5,Austin,HM-0003,REC-03,open,2025-09-12,2025-11-10,2025-09-19,1,2,0,hiring_manager_delay,2025-10-31T08:47:03Z,2026-05-31T23:59:59Z
2025-10-31,REQ-2025-00008,Software Engineer,ENG,SWE,L2,Toronto,HM-0005,REC-11,open,2025-10-24,2026-08-31,2026-07-31,1,2,0,no_material_constraint,2025-10-24T19:32:46Z,2026-05-31T23:59:59Z
2025-11-30,REQ-2025-00004,Data Engineer,OPS,DAT,L2,Dublin,HM-0041,REC-22,cancelled,2025-07-08,2025-12-10,2025-11-03,0,0,1,no_material_constraint,2025-10-03T17:32:23Z,2026-05-31T23:59:59Z
2025-11-30,REQ-2025-00005,Lead Account Executive,SAL,SLS,L4,Austin,HM-0062,REC-03,filled,2025-07-19,2025-12-15,2025-10-29,1,0,0,no_material_constraint,2025-08-12T10:40:48Z,2026-05-31T23:59:59Z
2025-11-30,REQ-2025-00006,Account Executive,SAL,SLS,L2,Dublin,HM-0076,REC-21,filled,2025-09-11,2025-11-24,2025-10-18,1,0,0,no_material_constraint,2025-10-05T10:09:47Z,2026-05-31T23:59:59Z
2025-11-30,REQ-2025-00007,Manager IT Systems Engineer,ENG,ITS,L5,Austin,HM-0003,REC-03,filled,2025-09-12,2025-11-10,2025-09-19,1,0,0,hiring_manager_delay,2025-11-11T19:12:45Z,2026-05-31T23:59:59Z
2025-11-30,REQ-2025-00008,Software Engineer,ENG,SWE,L2,Toronto,HM-0005,REC-11,open,2025-10-24,2026-08-31,2026-07-31,1,2,0,no_material_constraint,2025-10-24T19:32:46Z,2026-05-31T23:59:59Z
2025-11-30,REQ-2025-00009,Senior Operations Specialist,OPS,OPS,L3,London,HM-0132,REC-13,open,2025-11-12,2026-02-23,2026-01-15,1,2,0,no_material_constraint,2025-11-12T14:42:34Z,2026-05-31T23:59:59Z
2025-12-31,REQ-2025-00004,Data Engineer,OPS,DAT,L2,Dublin,HM-0041,REC-22,cancelled,2025-07-08,2025-12-10,2025-11-03,0,0,1,no_material_constraint,2025-10-03T17:32:23Z,2026-05-31T23:59:59Z
2025-12-31,REQ-2025-00006,Account Executive,SAL,SLS,L2,Dublin,HM-0076,REC-21,filled,2025-09-11,2025-11-24,2025-10-18,1,0,0,no_material_constraint,2025-10-05T10:09:47Z,2026-05-31T23:59:59Z
2025-12-31,REQ-2025-00007,Manager IT Systems Engineer,ENG,ITS,L5,Austin,HM-0003,REC-03,filled,2025-09-12,2025-11-10,2025-09-19,1,0,0,hiring_manager_delay,2025-11-11T19:12:45Z,2026-05-31T23:59:59Z
2025-12-31,REQ-2025-00008,Software Engineer,ENG,SWE,L2,Toronto,HM-0005,REC-11,open,2025-10-24,2026-08-31,2026-07-31,1,2,0,no_material_constraint,2025-10-24T19:32:46Z,2026-05-31T23:59:59Z
2025-12-31,REQ-2025-00009,Senior Operations Specialist,OPS,OPS,L3,London,HM-0132,REC-13,open,2025-11-12,2026-02-23,2026-01-15,1,2,0,no_material_constraint,2025-11-12T14:42:34Z,2026-05-31T23:59:59Z
